is:open updated:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2019-10-14,2,0,2,4,2,7
2019-10-13,0,1,2,4,2,7
2019-10-12,0,1,5,2,1,7
2019-10-11,0,3,3,2,1,7
2019-10-10,1,2,4,1,1,7
2019-10-09,0,2,4,1,1,7
2019-10-08,2,3,1,2,0,7
2019-10-07,1,3,1,2,0,8
2019-10-06,0,5,0,2,2,6
2019-10-05,4,1,1,1,2,7
2019-10-04,2,2,1,1,3,7
2019-10-03,2,1,1,2,3,8
2019-10-02,0,2,3,1,5,8
2019-10-01,1,4,3,0,5,8
2019-09-30,2,4,3,0,5,8
2019-09-29,3,4,3,0,5,8
2019-09-28,5,3,1,0,5,8
2019-09-27,2,3,2,2,4,8
2019-09-26,1,5,1,2,4,8
2019-09-25,3,3,2,1,4,8
2019-09-24,1,3,2,1,4,8
2019-09-23,4,0,3,2,3,8
2019-09-22,1,4,2,3,3,8
2019-09-21,1,6,0,3,4,7
2019-09-20,0,6,2,3,2,7
2019-09-19,4,2,2,3,2,7
2019-09-18,2,0,2,4,1,7
2019-09-17,1,1,2,4,2,6
2019-09-16,1,3,1,3,2,6
2019-09-15,2,2,1,3,2,6
2019-09-14,1,2,1,3,2,6
2019-09-13,2,1,3,1,2,6
2019-09-12,2,1,2,1,2,6
2019-09-11,1,1,3,0,2,6
2019-09-10,0,2,4,0,2,6
2019-09-09,2,2,2,0,2,6
2019-09-08,2,3,1,0,2,6
2019-09-07,1,4,0,1,2,6
2019-09-06,3,2,0,1,2,6
2019-09-05,4,2,1,1,1,6
2019-09-04,6,1,4,2,1,6
2019-09-03,0,2,5,1,3,7
2019-09-02,1,2,4,1,3,7
2019-09-01,0,6,1,2,2,7
2019-08-31,1,5,1,2,2,7
2019-08-30,3,4,0,2,2,7
2019-08-29,5,3,1,1,2,7
2019-08-28,1,5,1,2,2,8
2019-08-27,6,0,1,2,2,8
2019-08-26,1,0,4,2,2,8
2019-08-25,1,1,4,1,2,8
2019-08-24,0,3,4,1,2,8
2019-08-23,1,2,4,1,2,8
2019-08-22,2,3,1,1,2,8
2019-08-21,1,4,1,1,2,8
2019-08-20,0,5,2,1,2,8
2019-08-19,4,1,2,2,1,8
2019-08-18,3,2,1,3,0,9
2019-08-17,1,2,0,4,0,9
2019-08-16,0,3,0,4,0,9
2019-08-15,2,1,0,4,1,8
2019-08-14,4,0,1,3,1,8
2019-08-13,2,0,2,3,2,7
2019-08-12,0,1,3,2,2,7
2019-08-11,0,2,4,0,2,7
2019-08-10,0,3,3,0,2,7
2019-08-09,1,2,3,0,2,7
2019-08-08,1,2,2,0,2,7
2019-08-07,4,4,0,0,2,7
2019-08-06,1,5,1,0,2,7
2019-08-05,1,6,0,0,2,7
2019-08-04,5,1,0,0,3,7
2019-08-03,0,2,0,3,4,8
2019-08-02,1,1,0,3,4,8
2019-08-01,1,1,2,1,4,8
2019-07-31,0,0,2,4,2,8
2019-07-30,0,0,3,4,1,8
2019-07-29,0,0,3,4,1,8
2019-07-28,0,2,1,5,0,8
2019-07-27,0,2,1,5,0,8
2019-07-26,0,3,0,5,0,8
2019-07-25,2,1,1,4,0,8
2019-07-24,0,1,4,2,0,9
2019-07-23,1,1,4,1,0,9
2019-07-22,1,1,4,1,0,9
2019-07-21,1,2,4,0,0,9
2019-07-20,1,3,2,0,0,9
2019-07-19,0,5,1,0,0,9
2019-07-18,2,3,1,0,0,9
2019-07-17,2,2,1,0,0,9
2019-07-16,3,1,1,0,2,9
2019-07-15,0,2,2,1,3,12
2019-07-14,2,2,0,1,4,11
2019-07-13,0,2,0,1,5,11
2019-07-12,0,2,0,2,4,11
2019-07-11,2,0,1,1,5,10
2019-07-10,0,1,1,1,5,10
2019-07-09,3,0,1,1,5,10
2019-07-08,0,0,1,1,7,9
2019-07-07,0,1,0,1,8,8
2019-07-06,0,1,0,1,8,8
2019-07-05,0,1,1,1,7,8
2019-07-04,1,0,1,2,6,8
2019-07-03,0,1,1,3,5,8
2019-07-02,0,1,1,3,5,8
2019-07-01,1,1,0,3,5,8
2019-06-30,0,2,0,3,5,8
2019-06-29,0,2,0,3,5,8
2019-06-28,1,1,1,3,5,7
2019-06-27,2,0,2,3,4,7
2019-06-26,1,0,4,2,5,7
2019-06-25,0,0,5,3,4,7
2019-06-24,0,3,2,3,4,7
2019-06-23,0,5,1,3,4,7
2019-06-22,0,6,0,4,3,7
2019-06-21,4,2,1,5,2,6
2019-06-20,2,1,4,4,2,7
2019-06-19,1,0,5,4,2,8
2019-06-18,1,0,6,3,2,8
2019-06-17,2,3,3,3,2,8
2019-06-16,0,5,2,3,2,8
2019-06-15,0,6,2,2,2,8
2019-06-14,3,4,3,0,2,8
2019-06-13,2,2,4,0,4,8
2019-06-12,1,2,4,1,5,7
2019-06-11,0,4,3,1,5,7
2019-06-10,3,4,1,1,5,7
2019-06-09,1,5,1,1,5,7
2019-06-08,1,5,0,1,6,6
2019-06-07,5,1,0,1,6,6
2019-06-06,2,3,1,1,6,6
2019-06-05,1,1,2,2,5,6
2019-06-04,1,0,2,3,4,6
2019-06-03,0,1,1,3,4,6
2019-06-02,0,1,1,3,6,4
2019-06-01,0,2,0,3,6,4
2019-05-31,1,1,0,3,6,4
2019-05-30,0,1,0,3,7,3
2019-05-29,1,1,4,1,7,3
2019-05-28,1,0,5,1,6,3
2019-05-27,0,0,6,2,5,3
2019-05-26,0,1,5,2,5,3
2019-05-25,0,5,1,2,5,3
2019-05-24,0,6,0,2,5,3
2019-05-23,1,5,0,4,3,3
2019-05-22,3,1,0,5,4,4
2019-05-21,1,1,1,6,4,4
2019-05-20,1,1,5,2,4,4
2019-05-19,1,0,5,2,4,4
2019-05-18,0,0,6,3,4,4
2019-05-17,0,2,4,5,2,4
2019-05-16,0,6,3,2,2,4
2019-05-15,0,6,3,3,1,4
2019-05-14,2,4,3,4,0,4
2019-05-13,6,0,3,4,0,4
2019-05-12,0,3,1,5,2,5
2019-05-11,0,4,0,5,2,5
2019-05-10,0,4,3,2,2,5
2019-05-09,3,1,3,2,2,5
2019-05-08,2,1,6,2,3,4
2019-05-07,1,1,7,3,2,3
2019-05-06,1,5,2,3,2,3
2019-05-05,0,5,3,3,2,3
2019-05-04,0,7,1,3,2,3
2019-05-03,5,3,0,3,2,3
2019-05-02,1,3,0,3,3,6
2019-05-01,1,1,3,2,8,4
2019-04-30,1,0,5,0,8,5
2019-04-29,1,2,3,0,8,5
2019-04-28,0,2,3,0,8,5
2019-04-27,0,3,2,0,10,3
2019-04-26,2,3,0,0,10,3
